url	cleaned_url	depth
/w/index.php?title=Special:CategoryTree&target=Categories_requiring_diffusion&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Commons_category_link_is_on_Wikidata&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Life_sciences&mode=20&hideprefix=20&showcount=1		0
/w/index.php?title=Special:CategoryTree&target=Organisms&mode=20&hideprefix=20&showcount=1		0
/wiki/Category:Biology	Category:Biology	0
/wiki/Category:Biology-related_lists	Category:Biology-related lists	0
/wiki/Category:Branches_of_biology	Category:Branches of biology	0
/wiki/Category:Biology_awards	Category:Biology awards	0
/wiki/Category:Biocides	Category:Biocides	0
/wiki/Category:Biological_classification	Category:Biological classification	0
/wiki/Category:Biological_records	Category:Biological records	0
/wiki/Category:Biologists	Category:Biologists	0
/wiki/Category:Biology_education	Category:Biology education	0
/wiki/Category:Biology_software	Category:Biology software	0
/wiki/Category:Biotechnology	Category:Biotechnology	0
/wiki/Category:Biological_censuses	Category:Biological censuses	0
/wiki/Category:Biological_concepts	Category:Biological concepts	0
/wiki/Category:Biology_and_culture	Category:Biology and culture	0
/wiki/Category:Bioscience_education	Category:Bioscience education	0
/wiki/Category:Eukaryote_biology	Category:Eukaryote biology	0
/wiki/Category:Biological_evolution	Category:Biological evolution	0
/wiki/Category:History_of_biology	Category:History of biology	0
/wiki/Category:Biological_interactions	Category:Biological interactions	0
/wiki/Category:Lists_by_population	Category:Lists by population	0
/wiki/Category:Natural_environment	Category:Natural environment	0
/wiki/Category:Philosophy_of_biology	Category:Philosophy of biology	0
/wiki/Category:Biological_processes	Category:Biological processes	0
/wiki/Category:Professorships_in_biology	Category:Professorships in biology	0
/wiki/Category:Quantum_biology	Category:Quantum biology	0
/wiki/Category:Standardized_tests_for_Biology	Category:Standardized tests for Biology	0
/wiki/Category:Biological_techniques_and_tools	Category:Biological techniques and tools	0
/wiki/Category:Biology_terminology	Category:Biology terminology	0
/wiki/Category:Unsolved_problems_in_biology	Category:Unsolved problems in biology	0
/wiki/Category:Biological_waste	Category:Biological waste	0
/wiki/Category:Years_in_biology	Category:Years in biology	0
/wiki/Category:Wikipedia_books_on_biology	Category:Wikipedia books on biology	0
/wiki/Category:Biology_stubs	Category:Biology stubs	0
/wiki/Category:Biology_templates	Category:Biology templates	0
/wiki/Biology	Biology	0
/wiki/Biologist	Biologist	0
/wiki/Portal:Biology	Portal:Biology	0
/wiki/293T	293T	0
/wiki/Acquired_neuroprotection	Acquired neuroprotection	0
/wiki/AGCS_family	AGCS family	0
/wiki/Allometric_engineering	Allometric engineering	0
/wiki/APC_Family	APC Family	0
/wiki/Basic_amino_acid_antiporter_family	Basic amino acid antiporter family	0
/wiki/Betaine_transporter	Betaine transporter	0
/wiki/Bibliography_of_encyclopedias:_biology	Bibliography of encyclopedias: biology	0
/wiki/Biconcave_disc	Biconcave disc	0
/wiki/Bioactive_terrarium	Bioactive terrarium	0
/wiki/Biological_constraints	Biological constraints	0
/wiki/Biological_dark_matter	Biological dark matter	0
/wiki/Biological_exponential_growth	Biological exponential growth	0
/wiki/Biological_Hermeneutics	Biological Hermeneutics	0
/wiki/Biological_life_cycle	Biological life cycle	0
/wiki/Biological_organisation	Biological organisation	0
/wiki/Biological_rules	Biological rules	0
/wiki/Biomaterial_Surface_Modifications	Biomaterial Surface Modifications	0
/wiki/Bioresilience	Bioresilience	0
/wiki/Biostasis	Biostasis	0
/wiki/Biotron	Biotron	0
/wiki/Bridged_nucleic_acid	Bridged nucleic acid	0
/wiki/Cation_diffusion_facilitator	Cation diffusion facilitator	0
/wiki/CitMHS_family	CitMHS family	0
/wiki/Comparator_system	Comparator system	0
/wiki/Compartmentalized_ciliogenesis	Compartmentalized ciliogenesis	0
/wiki/Compensatory_growth_(organ)	Compensatory growth (organ)	0
/wiki/Compensatory_growth_(organism)	Compensatory growth (organism)	0
/wiki/CRISPR-Display	CRISPR-Display	0
/wiki/Charles_Darwin	Charles Darwin	0
/wiki/Deformity	Deformity	0
/wiki/Despeciation	Despeciation	0
/wiki/Diploidization	Diploidization	0
/wiki/Dorsal_nexus	Dorsal nexus	0
/wiki/Encapsulin	Encapsulin	0
/wiki/Encapsulin_nanocompartment	Encapsulin nanocompartment	0
/wiki/Endogeny_(biology)	Endogeny (biology)	0
/wiki/FAM63B	FAM63B	0
/wiki/Fast-scan_cyclic_voltammetry	Fast-scan cyclic voltammetry	0
/wiki/Feminist_biology	Feminist biology	0
/wiki/Fenestra	Fenestra	0
/wiki/FMRFamide_in_Biomphalaria_glabrata	FMRFamide in Biomphalaria glabrata	0
/wiki/Formate-nitrite_transporter	Formate-nitrite transporter	0
/wiki/Gender	Gender	0
/wiki/Gender_typing	Gender typing	0
/wiki/Glycogen	Glycogen	0
/wiki/H+,_Na+-translocating_pyrophosphatase_family	H+, Na+-translocating pyrophosphatase family	0
/wiki/HAAAP_family	HAAAP family	0
/wiki/Heterolysis_(biology)	Heterolysis (biology)	0
/wiki/Heteromorphosis	Heteromorphosis	0
/wiki/High_throughput_biology	High throughput biology	0
/wiki/Homolysis_(biology)	Homolysis (biology)	0
/wiki/HUMARA_assay	HUMARA assay	0
/wiki/I-cell	I-cell	0
/wiki/Indeterminate_growth	Indeterminate growth	0
/wiki/Industries_et_Agro-Ressources	Industries et Agro-Ressources	0
/wiki/Infectious_tolerance	Infectious tolerance	0
/wiki/Informative_site	Informative site	0
/wiki/Infradian_rhythm	Infradian rhythm	0
/wiki/Inverted_repeat	Inverted repeat	0
/wiki/Kin_recognition	Kin recognition	0
/wiki/Kitāb_al-Hayawān	Kitāb al-Hayawān	0
/wiki/Lorquin_Entomological_Society	Lorquin Entomological Society	0
/wiki/Machine_learning_in_bioinformatics	Machine learning in bioinformatics	0
/wiki/MACPF	MACPF	0
/wiki/Macrobiology	Macrobiology	0
/wiki/MatC_family	MatC family	0
/wiki/Merodiploid	Merodiploid	0
/wiki/Methyl_green	Methyl green	0
/wiki/Microbial_rhodopsin	Microbial rhodopsin	0
/wiki/Mitochondrial_fusion	Mitochondrial fusion	0
/wiki/Modes_of_toxic_action	Modes of toxic action	0
/wiki/Monovalent_cation:proton_antiporter-1	Monovalent cation:proton antiporter-1	0
/wiki/Monovalent_cation:proton_antiporter-3	Monovalent cation:proton antiporter-3	0
/wiki/Natural_resistance-associated_macrophage_protein	Natural resistance-associated macrophage protein	0
/wiki/Neontology	Neontology	0
/wiki/Neural_computation	Neural computation	0
/wiki/NhaA_family	NhaA family	0
/wiki/NhaB_family	NhaB family	0
/wiki/NhaC_family	NhaC family	0
/wiki/NhaD_family	NhaD family	0
/wiki/NhaE_family	NhaE family	0
/wiki/NicO_transporters	NicO transporters	0
/wiki/Nicotinamide_ribonucleoside_uptake_transporters	Nicotinamide ribonucleoside uptake transporters	0
/wiki/Nuclear_calcium	Nuclear calcium	0
/wiki/Nucleobase_cation_symporter-1	Nucleobase cation symporter-1	0
/wiki/Nucleobase_cation_symporter-2	Nucleobase cation symporter-2	0
/wiki/P-Aminobenzoyl-glutamate_transporter	P-Aminobenzoyl-glutamate transporter	0
/wiki/Parabiosis	Parabiosis	0
/wiki/Peptidoglycolipid_addressing_protein	Peptidoglycolipid addressing protein	0
/wiki/Phylogenetic_inertia	Phylogenetic inertia	0
/wiki/Phytogeomorphology	Phytogeomorphology	0
/wiki/Pinch-induced_behavioral_inhibition	Pinch-induced behavioral inhibition	0
/wiki/Polyphenism	Polyphenism	0
/wiki/Potassium_spatial_buffering	Potassium spatial buffering	0
/wiki/Proximal_Centriole-Like	Proximal Centriole-Like	0
/wiki/Pseudohypoxia	Pseudohypoxia	0
/wiki/Pulsatile_flow	Pulsatile flow	0
/wiki/Pursuit_predation	Pursuit predation	0
/wiki/Radioactivity_in_the_life_sciences	Radioactivity in the life sciences	0
/wiki/Sequence_graph	Sequence graph	0
/wiki/Sessility_(motility)	Sessility (motility)	0
/wiki/Social_Bonding_and_Nurture_Kinship	Social Bonding and Nurture Kinship	0
/wiki/Sociobiology	Sociobiology	0
/wiki/Solenocyte	Solenocyte	0
/wiki/Stercomata	Stercomata	0
/wiki/Sulfide_intrusion	Sulfide intrusion	0
/wiki/Sulphide_Indole_Motility_medium	Sulphide Indole Motility medium	0
/wiki/Supercompensation	Supercompensation	0
/wiki/Syntrophy	Syntrophy	0
/wiki/Tachyaerobic	Tachyaerobic	0
/wiki/Tactoid	Tactoid	0
/wiki/Staining	Staining	0
